DevType,Country,OrgSize,YearsCodePro,CompTotal,LanguageHaveWorkedWith,ToolsTechHaveWorkedWith,PlatformHaveWorkedWith,MiscTechHaveWorkedWith
"Developer, full-stack",Slovakia,10 to 19 employees,16,34000.0,C#;Java;JavaScript;SQL;TypeScript,Composer;Docker;Gradle;Maven (build tool);npm;NuGet;Vite;Webpack,Amazon Web Services (AWS),.NET Framework (1.0 - 4.8);Capacitor;Spring Framework
Engineering manager,Czech Republic,,,,C#,Docker;Kubernetes;Visual Studio Solution,Microsoft Azure,.NET (5+) ;Apache Kafka;RabbitMQ
"Developer, full-stack",Finland,500 to 999 employees,11,80000.0,Bash/Shell (all shells);C#;Elixir;HTML/CSS;JavaScript;PowerShell;Python;SQL,Docker;NuGet;Visual Studio Solution,Microsoft Azure,
"Developer, full-stack",Switzerland,2 to 9 employees,8,100000.0,HTML/CSS;JavaScript;PHP;SQL,,,Cordova
Hardware Engineer,Poland,"1,000 to 4,999 employees",3,,C;C++;Python,Visual Studio Solution,Microsoft Azure,
"Developer, full-stack",Denmark,20 to 99 employees,12,700000.0,Bash/Shell (all shells);C++;Fortran;HTML/CSS;JavaScript;MATLAB;MicroPython;PHP;PowerShell;Python;Rust;SQL;VBA,Docker;Make;npm;Pip,Microsoft Azure,NumPy;Opencv;Pandas
"Developer, front-end",Russian Federation,100 to 499 employees,10,,HTML/CSS;TypeScript,pnpm;Webpack,,
Student,India,,,,C;C++;HTML/CSS;Java;JavaScript;Python;SQL,Visual Studio Solution,,
Cloud infrastructure engineer,India,500 to 999 employees,11,800000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Make;Maven (build tool);npm;Pip,"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Linode, now Akamai;OVH;Vultr",RabbitMQ
"Developer, full-stack",Sweden,20 to 99 employees,3,630000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),Kubernetes;npm;NuGet;Pulumi,Amazon Web Services (AWS),.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ
"Developer, full-stack",Germany,"1,000 to 4,999 employees",30,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Kubernetes;Maven (build tool);npm,Amazon Web Services (AWS);Microsoft Azure;OpenShift,RabbitMQ;Spring Framework
Data engineer,Switzerland,"10,000 or more employees",24,110000.0,Bash/Shell (all shells);Perl;PHP;Python;Rust;SQL,APT;Docker;Homebrew;Make;Pip;Podman,Managed Hosting;VMware,Pandas
,,,,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL,npm;Pip,,
"Developer, full-stack",India,,Less than 1 year,,HTML/CSS;Java;JavaScript;Solidity;TypeScript,Gradle;npm;Vite;Webpack;Yarn,Firebase;Netlify;Render;Vercel,React Native
"Developer, full-stack",France,100 to 499 employees,18,110000.0,Java;JavaScript;SQL;TypeScript,Docker;Kubernetes;Maven (build tool);npm,OpenShift,RabbitMQ
"Developer, back-end",Spain,,Less than 1 year,,C#;Java;Kotlin;Python;SQL,APT;Docker;Gradle;Maven (build tool);Nix;NuGet;Pacman;Pip,Firebase,.NET Framework (1.0 - 4.8);.NET MAUI
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,"10,000 or more employees",8,95000.0,Bash/Shell (all shells);C#;JavaScript;PowerShell;Python;TypeScript,MSBuild;NuGet,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;.NET MAUI;SwiftUI;Xamarin
Other (please specify):,Switzerland,"1,000 to 4,999 employees",10,185000.0,Go;Groovy;Java;JavaScript;Kotlin;Perl;PHP;Scala;SQL,Gradle;Make;Maven (build tool),Amazon Web Services (AWS);Firebase;Google Cloud,Apache Kafka
"Developer, mobile",Germany,"Just me - I am a freelancer, sole proprietor, etc.",30,,C#;Python,Docker;Pip,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;.NET MAUI;Torch/PyTorch;Xamarin
"Developer, full-stack",France,"10,000 or more employees",9,48000.0,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,Composer;Docker;Kubernetes;npm;Pip;Webpack;Yarn,Amazon Web Services (AWS),
,,,,,,,,
"Developer, mobile",France,"Just me - I am a freelancer, sole proprietor, etc.",8,77000.0,C#;Dart,Docker;Gradle;Homebrew,Microsoft Azure,Flutter
"Developer, full-stack",Netherlands,10 to 19 employees,32,60000.0,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;VBA,Composer,Amazon Web Services (AWS);Google Cloud;Managed Hosting,.NET Framework (1.0 - 4.8)
Other (please specify):,Austria,,,,Java;Kotlin;Python;TypeScript,Docker;Gradle;Kubernetes;npm;Pip;Terraform,Amazon Web Services (AWS);Google Cloud,Apache Kafka;Spring Framework
,,,,,C;C++,,,
"Developer, back-end",Denmark,20 to 99 employees,24,,C#;HTML/CSS;JavaScript;SQL;TypeScript,Docker;Kubernetes;NuGet;Visual Studio Solution,Microsoft Azure,.NET (5+) 
,,,,,HTML/CSS;Java;JavaScript;SQL,Docker;Gradle,Amazon Web Services (AWS);Digital Ocean,Cordova
"Developer, back-end",Poland,100 to 499 employees,10,,Ruby;SQL,Docker;Homebrew;Pip,Amazon Web Services (AWS);Heroku,Apache Kafka;RabbitMQ
"Developer, full-stack",Canada,2 to 9 employees,20,100000.0,C;C#;C++;Crystal;HTML/CSS;Java;JavaScript;MATLAB;SQL;TypeScript;VBA;Visual Basic (.Net),NuGet,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);Qt;Xamarin
Scientist,,500 to 999 employees,6,,Python,,,Pandas;Scikit-Learn
"Developer, full-stack",Belgium,I don’t know,24,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Ansible;Composer;Docker;npm,Amazon Web Services (AWS);Cloudflare;OVH,
Marketing or sales professional,Switzerland,,,,Bash/Shell (all shells);HTML/CSS;PHP;Python;SQL;TypeScript;Visual Basic (.Net),Ansible,Cloudflare;Digital Ocean;OpenShift;OpenStack;VMware,Pandas
,,,,,,,,
"Developer, full-stack",Greece,20 to 99 employees,32,26000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;Python;SQL,Ansible;Composer;Docker,,
,United States of America,,,,Assembly;C;HTML/CSS;Java;JavaScript;Python;Rust,Pip,Digital Ocean;Supabase,
Student,India,,,,C;Java,Docker;Maven (build tool),,Spring Framework
Engineering manager,United States of America,"10,000 or more employees",22,160000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,Ansible;Composer;Docker;Homebrew;npm;Pip;Vite,,
Student,India,,,,Python,,,
"Developer, full-stack",Australia,10 to 19 employees,3,120000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,Ansible;Chocolatey;Docker;Homebrew;Kubernetes;Make;npm;Pip;Vite;Webpack,Amazon Web Services (AWS),NumPy;Pandas;React Native;Tidyverse
"Developer, back-end",,100 to 499 employees,2,,,,,
"Developer, full-stack",Germany,"1,000 to 4,999 employees",14,200000.0,Bash/Shell (all shells);JavaScript;Python;TypeScript,Ansible;APT;Docker;Homebrew;Kubernetes;Nix;npm;Pacman;Pip;Podman;Terraform;Yarn,Google Cloud;Hetzner;OVH,
"Developer, desktop or enterprise applications",Australia,2 to 9 employees,9,120000.0,C#;Kotlin;PowerShell;SQL,Docker,,.NET Framework (1.0 - 4.8)
"Developer, back-end",Canada,"1,000 to 4,999 employees",17,190000.0,C#;HTML/CSS;SQL,Visual Studio Solution,Microsoft Azure,.NET Framework (1.0 - 4.8)
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Developer, front-end",United Kingdom of Great Britain and Northern Ireland,"10,000 or more employees",5,,HTML/CSS;JavaScript;SQL;TypeScript,Docker;npm;Webpack;Yarn,,React Native
Data scientist or machine learning specialist,India,100 to 499 employees,2,750000.0,C++;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,APT;Bun;Docker;Kubernetes;Nix;npm;Pacman;Pip;Podman;Vite,"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Linode, now Akamai;Managed Hosting;Netlify;Supabase;Vercel",Hugging Face Transformers;NumPy;Pandas;Ruff;Scikit-Learn;Torch/PyTorch
"Developer, full-stack",Netherlands,20 to 99 employees,9,50000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;Swift;TypeScript,Ansible;Docker;Homebrew;Kubernetes;npm;Pip;Vite;Webpack;Yarn,Cloudflare;Digital Ocean;Google Cloud;Managed Hosting,React Native
,,,,,,,,
"Developer, mobile",India,20 to 99 employees,Less than 1 year,,Dart;Java;JavaScript;PHP;Prolog;Solidity;TypeScript,,,Flutter
,,,,,,,,
,,,,,,,,
,,,,,Python;SQL,,Amazon Web Services (AWS),
,,,,,,,,
"Developer, mobile",Italy,"1,000 to 4,999 employees",26,,Objective-C;Swift,Homebrew;Kubernetes;Terraform,Microsoft Azure,
Security professional,Czech Republic,,,,C#;Python;Rust,Docker;Kubernetes,Amazon Web Services (AWS),
Student,United Kingdom of Great Britain and Northern Ireland,,,,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Homebrew;npm;Pip,Amazon Web Services (AWS),
Student,India,,Less than 1 year,,,,,
"Developer, mobile",India,100 to 499 employees,3,600000.0,C++;Java;Kotlin;TypeScript,Composer;Gradle,Google Cloud;Microsoft Azure;VMware,Flutter;Hadoop;React Native
"Developer, full-stack",,I don’t know,Less than 1 year,,,,,
"Developer, back-end",Hungary,"1,000 to 4,999 employees",14,15000000.0,Bash/Shell (all shells);Groovy;Java;Python,Docker;Gradle;Kubernetes;Pip,Microsoft Azure;VMware,Apache Kafka;Spring Framework
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,"10,000 or more employees",7,100000.0,JavaScript;TypeScript,Docker;Homebrew;npm;Terraform,Amazon Web Services (AWS);Firebase,
"Developer, full-stack",Nigeria,"Just me - I am a freelancer, sole proprietor, etc.",,,HTML/CSS;JavaScript;PHP,,,
"Developer, back-end",India,20 to 99 employees,2,360000.0,Python,Docker;Homebrew;Pip,Amazon Web Services (AWS),
"Developer, mobile",Singapore,500 to 999 employees,8,135000.0,Kotlin,Dagger;Gradle,Firebase;Google Cloud,
,,,,,JavaScript;Python;TypeScript,,,
"Developer, full-stack",Sweden,20 to 99 employees,12,,C#;HTML/CSS;PHP;PowerShell;Python;SQL,Docker;NuGet,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, back-end",,"Just me - I am a freelancer, sole proprietor, etc.",,,Bash/Shell (all shells);C;JavaScript;Python;SQL;TypeScript,Docker;Nix;npm;Pip;Yarn,,NumPy;Pandas;Scikit-Learn
Research & Development role,Germany,"5,000 to 9,999 employees",10,70000.0,C++;Java;JavaScript;Lua;MATLAB;Python;R,Ant;Docker;Make;npm;Pip,,Qt
,,,,,C++;Cobol;Python;TypeScript,Docker;npm;Pacman;Pip;Vite;Yarn,Amazon Web Services (AWS);Firebase;Google Cloud,.NET (5+) ;React Native
,,,,,,,,
"Developer, full-stack",Ukraine,20 to 99 employees,3,,HTML/CSS;JavaScript;SQL;TypeScript,Docker;npm;Vite;Webpack;Yarn,Digital Ocean;Microsoft Azure,
"Developer, full-stack",India,"10,000 or more employees",7,,HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,npm;Pip,VMware,
Cloud infrastructure engineer,Germany,10 to 19 employees,9,120000.0,Bash/Shell (all shells);C++;Go;PowerShell;Rust;SQL,Chocolatey;Docker;Google Test;Homebrew;Kubernetes;Make;Terraform;Unreal Engine,Google Cloud;Hetzner,
"Developer, back-end",Brazil,20 to 99 employees,7,56400.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;Python;Rust;TypeScript,Docker;Homebrew;Kubernetes;npm;Pip;Terraform,Amazon Web Services (AWS);Google Cloud,Opencv;React Native
Educator,Italy,,15,,C++;Cobol;Delphi;HTML/CSS;JavaScript;Lisp;MicroPython;PHP;Python;SQL;VBA;Visual Basic (.Net),,,
Product manager,Brazil,,,,Apex;Python;SQL,,,
"Developer, game or graphics",Singapore,,2,,Bash/Shell (all shells);C;C#;Dart;Go;HTML/CSS;JavaScript;Kotlin;Python;Rust;Zig,Bun;Chocolatey;Docker;Godot;Nix;NuGet;Pip;Unity 3D;Visual Studio Solution,Cloudflare;Google Cloud;Microsoft Azure;Supabase,.NET (5+) ;Flutter;Ruff
Engineering manager,Argentina,"1,000 to 4,999 employees",20,60000.0,Rust;Swift,Homebrew,Amazon Web Services (AWS),
"Developer, full-stack",Austria,2 to 9 employees,10,54000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,npm;pnpm;Vite;Webpack;Yarn,Google Cloud;Microsoft Azure,NumPy;Pandas;Torch/PyTorch
Designer,Norway,,,,HTML/CSS,,,
,,,,,PowerShell,,,
Product manager,France,2 to 9 employees,14,90000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,Ansible;Homebrew;Make,Google Cloud;OVH;Scaleway,NumPy
"Developer, AI",South Africa,"1,000 to 4,999 employees",5,710000.0,C++;Go;Groovy;Java;JavaScript;Python;Rust;SQL;TypeScript,Chocolatey;Gradle;Homebrew;Kubernetes;npm;Pip;Vite,Amazon Web Services (AWS),NumPy;Pandas;Quarkus;Spring Framework
"Developer, back-end",Sweden,100 to 499 employees,9,650000.0,Bash/Shell (all shells);C#;JavaScript;Python;Ruby,APT;Gradle;Homebrew;Maven (build tool);MSBuild;npm;NuGet;Pip,Amazon Web Services (AWS),.NET (5+) ;.NET MAUI;Xamarin
"Developer, full-stack",Italy,"Just me - I am a freelancer, sole proprietor, etc.",35,40000.0,Cobol;HTML/CSS;Java;JavaScript;PHP;SQL;VBA;Visual Basic (.Net),npm,Amazon Web Services (AWS);Heroku,.NET Framework (1.0 - 4.8);Cordova;Ionic
"Senior Executive (C-Suite, VP, etc.)",Switzerland,2 to 9 employees,20,140000.0,Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;MATLAB;Python;Rust;Solidity;SQL;TypeScript,Ansible;APT;Docker;Gradle;Make;npm,Amazon Web Services (AWS);Colocation;Digital Ocean;Hetzner;Managed Hosting;OpenStack;Vercel,CUDA;Flutter
,,,,,,,,
"Developer, back-end",Russian Federation,"1,000 to 4,999 employees",4,3000000.0,Elixir;Python;SQL,Docker;Pip,Amazon Web Services (AWS),Apache Kafka;Pandas;TensorFlow;Torch/PyTorch
"Developer, full-stack",India,2 to 9 employees,20,6000.0,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;MicroPython;Objective-C;Perl;PHP;Python;SQL;TypeScript;VBA,Ansible;APT;Composer;Gradle;Homebrew;Make;Maven (build tool);Pacman;Pip;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Hetzner;Microsoft Azure,.NET (5+) ;RabbitMQ;Spring Framework
"Developer, full-stack",United States of America,"10,000 or more employees",6,218000.0,Groovy;HTML/CSS;Java;JavaScript;TypeScript,Docker;Gradle;Homebrew;Maven (build tool);npm;Pacman;pnpm;Vite;Webpack;Yarn,Amazon Web Services (AWS),
Data or business analyst,United States of America,100 to 499 employees,33,48000.0,Perl,,,
"Developer, desktop or enterprise applications",Switzerland,20 to 99 employees,5,110000.0,Bash/Shell (all shells);C++;Python,Google Test;Make,,
"Developer, front-end",Ecuador,20 to 99 employees,10,66000.0,Bash/Shell (all shells);Haskell;JavaScript;PHP;Python;Ruby,Bun;Homebrew;Make;Maven (build tool);npm;Pip;pnpm;Webpack;Yarn,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku,
"Developer, full-stack",Italy,100 to 499 employees,13,90000.0,HTML/CSS;Java;Kotlin;Python;TypeScript,Ant;Docker;Gradle;Kubernetes;Maven (build tool),Databricks;OpenShift,Apache Kafka;Quarkus;Spring Framework
"Developer, back-end",France,100 to 499 employees,13,100000.0,HTML/CSS;Java;JavaScript;PHP;Python;SQL,Docker;Maven (build tool);Terraform,Amazon Web Services (AWS),GTK
"Developer, back-end",Austria,100 to 499 employees,13,68600.0,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Ansible;Docker;Kubernetes;Maven (build tool);Pulumi;Terraform;Vite,Amazon Web Services (AWS),React Native;Spring Framework
,,,,,,,,
Research & Development role,Norway,100 to 499 employees,20,,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;Python;R;TypeScript,Docker;Make,Amazon Web Services (AWS);Digital Ocean,Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, mobile",Australia,"10,000 or more employees",14,185000.0,Bash/Shell (all shells);Java;JavaScript;Objective-C;Swift;TypeScript,Gradle;Homebrew;npm;pnpm;Webpack;Yarn,Amazon Web Services (AWS),React Native
"Developer, back-end",Sweden,500 to 999 employees,10,840000.0,Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;PowerShell;Rust;SQL;TypeScript,Chocolatey;Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);MSBuild;Ninja;npm;NuGet;Pip;Visual Studio Solution;Vite;Webpack;Yarn,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
,,,,,,,,
"Developer, full-stack",Germany,10 to 19 employees,15,80000.0,Bash/Shell (all shells);HTML/CSS;Java;PHP;Python;Rust;TypeScript,Composer;Docker;Gradle;Homebrew;Kubernetes;npm;Pip,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Hetzner;Microsoft Azure,Apache Kafka
,,,,,,,,
"Developer, front-end",Czech Republic,100 to 499 employees,12,,HTML/CSS;JavaScript;TypeScript,,,
Blockchain,Ukraine,20 to 99 employees,10,,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;Solidity;SQL;TypeScript,Docker;npm;pnpm;Webpack;Yarn,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;Vercel,OpenCL;RabbitMQ
,,,,,,,,
"Developer, front-end",Germany,2 to 9 employees,20,80000.0,HTML/CSS;JavaScript;Python;Ruby;TypeScript,Docker;Homebrew;npm;Vite;Yarn,Fly.io,
"Developer, back-end",Switzerland,100 to 499 employees,25,160000.0,Bash/Shell (all shells);Java;SQL,Ansible;Docker;Maven (build tool),Amazon Web Services (AWS),Quarkus
"Developer, full-stack",Hungary,20 to 99 employees,3,,Bash/Shell (all shells);HTML/CSS;Java;Python;TypeScript,Ansible;Docker;Kubernetes;Podman,,
,,,,,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;SQL,,Microsoft Azure,
Product manager,Montenegro,,,,Go;HTML/CSS;JavaScript;PHP;Python,Composer;Docker;Homebrew;Kubernetes;Make;npm;Pip,Amazon Web Services (AWS);Cloudflare;Hetzner,RabbitMQ
,,,,,C;C++;JavaScript;Python;Solidity;TypeScript,Ansible;Docker;Kubernetes;npm;Unreal Engine;Visual Studio Solution,Amazon Web Services (AWS);Google Cloud,CUDA;Keras;NumPy;OpenCL;Opencv;OpenGL;Pandas;TensorFlow;Torch/PyTorch
"Developer, embedded applications or devices",Germany,"1,000 to 4,999 employees",5,80000.0,Assembly;C;C++;Python,Make;Podman,,
"Developer, back-end",France,20 to 99 employees,5,34000.0,C;C++;GDScript;Python;Rust;Zig,APT;Docker;Godot;Ninja;Nix,,
"Developer, full-stack",,20 to 99 employees,6,,,,,
Cloud infrastructure engineer,United States of America,20 to 99 employees,7,155000.0,Python;SQL,Docker;Homebrew;Pip,Amazon Web Services (AWS);Databricks,Apache Spark;Pandas
Student,France,,Less than 1 year,,Java;Python,Gradle;Make;Pacman,Heroku,NumPy;Pandas
"Developer, back-end",Denmark,20 to 99 employees,9,,Bash/Shell (all shells);C;C++;Go;JavaScript;Lua;MATLAB;Perl;Python;SQL;TypeScript,Bun;Docker;Homebrew;Kubernetes;Make;npm;Pacman;Pulumi;Yarn,Fly.io;Google Cloud;Microsoft Azure,NumPy;Pandas;Ruff
"Developer, full-stack",Pakistan,100 to 499 employees,2,1500000.0,C;HTML/CSS;Java;JavaScript,Gradle,Heroku;Netlify,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, back-end",Germany,2 to 9 employees,22,85000.0,HTML/CSS;Rust;TypeScript,Docker;Kubernetes;Make;Terraform;Vite;Yarn,Fly.io;Microsoft Azure;Vercel,
Engineering manager,Germany,"5,000 to 9,999 employees",16,95000.0,Bash/Shell (all shells);Groovy;JavaScript;TypeScript,npm,Amazon Web Services (AWS),
,,,,,,,,
Student,France,,,,Kotlin;Swift,,Firebase,SwiftUI
"Developer, embedded applications or devices",United States of America,"5,000 to 9,999 employees",20,,Bash/Shell (all shells);C;C++;Delphi;Lisp;Python;Rust,APT;Docker;Make;MSBuild;Pip,,NumPy
"Developer, back-end",Germany,20 to 99 employees,14,75000.0,Bash/Shell (all shells);C++;JavaScript;PowerShell;Python;SQL,Chocolatey;Google Test;Ninja,,Qt
"Developer, full-stack",Austria,"Just me - I am a freelancer, sole proprietor, etc.",12,98000.0,HTML/CSS;JavaScript;TypeScript,Docker;Homebrew;npm;pnpm;Vite;Yarn,Amazon Web Services (AWS);Google Cloud;Supabase;Vercel,
,,,,,JavaScript,Ninja,,
Scientist,United States of America,"Just me - I am a freelancer, sole proprietor, etc.",20,,C++;Python,,VMware,CUDA
,,,,,,,,
"Developer, back-end",France,"1,000 to 4,999 employees",18,100000.0,Bash/Shell (all shells);Java;Python,Ansible;Docker;Gradle,,Spring Framework
"Developer, embedded applications or devices",Finland,20 to 99 employees,8,50000.0,Assembly;Bash/Shell (all shells);C;Python,Docker,,GTK;NumPy
,,,,,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,Chocolatey;Gradle;Nix;npm;Pacman;Pip;pnpm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Managed Hosting;Microsoft Azure;Netlify;PythonAnywhere;Vercel;VMware,NumPy;OpenCL;Opencv;OpenGL;Pandas;React Native;Scikit-Learn
"Developer, full-stack",United States of America,100 to 499 employees,8,140000.0,Elixir;JavaScript;PHP;SQL;TypeScript,Composer;Docker;Homebrew;npm;Webpack,Amazon Web Services (AWS),
Other (please specify):,United States of America,"10,000 or more employees",10,400000.0,JavaScript;Lua;PHP;Rust,,,
"Developer, front-end",Russian Federation,2 to 9 employees,1,1440000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Docker;Make;npm;Pacman;Pip;Vite;Webpack,Google Cloud;Vercel,Electron;Opencv;Qt;React Native
"Senior Executive (C-Suite, VP, etc.)",Germany,10 to 19 employees,10,85000.0,Bash/Shell (all shells);Groovy;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,Docker;Gradle;Homebrew;npm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Google Cloud,Spring Framework
"Developer, full-stack",Greece,"Just me - I am a freelancer, sole proprietor, etc.",15,20000.0,HTML/CSS;JavaScript;PHP,,Amazon Web Services (AWS);Hetzner,
System administrator,United Kingdom of Great Britain and Northern Ireland,"1,000 to 4,999 employees",6,80000.0,Go;Python,Chocolatey;Homebrew;Pip;Puppet;Terraform,Amazon Web Services (AWS),
"Developer, embedded applications or devices",United States of America,"Just me - I am a freelancer, sole proprietor, etc.",16,180000.0,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Python;Zephyr,Ansible;Docker;Pip,Digital Ocean,
"Developer, back-end",Sweden,"10,000 or more employees",13,1000000.0,Kotlin;SQL;TypeScript,Homebrew;Kubernetes;Maven (build tool),Google Cloud,Spring Framework
Data scientist or machine learning specialist,"Iran, Islamic Republic of...",20 to 99 employees,2,,Python,Docker,,CUDA;Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, full-stack",Germany,100 to 499 employees,10,78000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Docker;Homebrew;Pip,Amazon Web Services (AWS),Pandas;Ruff
,,,,,,,,
"Developer, full-stack",Germany,500 to 999 employees,13,140000.0,Java;JavaScript;Kotlin;SQL,Docker;Gradle;Maven (build tool);npm;Terraform,Amazon Web Services (AWS);Google Cloud,Apache Kafka;Spring Framework
,,,,,,,,
,,,,,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,,"Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner;Linode, now Akamai",
Student,Indonesia,,,,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Python;TypeScript,npm;Unity 3D;Unreal Engine;Yarn,Netlify;Vercel,
Data engineer,India,"10,000 or more employees",18,1500000.0,C#;Cobol;Crystal;Python;SQL;Visual Basic (.Net),,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
,,,,,,Kubernetes;Unity 3D,Databricks;Google Cloud;PythonAnywhere,
Student,Germany,20 to 99 employees,5,,Bash/Shell (all shells);Clojure;HTML/CSS;Java;Kotlin;Rust;Zig,Gradle;Nix,Hetzner;Oracle Cloud Infrastructure (OCI),
"Developer, full-stack",Turkey,100 to 499 employees,14,1700000.0,Delphi;Java;JavaScript;Python;TypeScript,Docker;npm;Pip;Unity 3D;Vite;Webpack,Amazon Web Services (AWS);Digital Ocean,Opencv;React Native
"Developer, full-stack",France,100 to 499 employees,10,75000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Ansible;APT;Composer;Docker;Kubernetes;Make;npm;pnpm;Terraform;Vite;Webpack;Yarn,Google Cloud,
"Developer, full-stack",Netherlands,,3,,C#;Go;JavaScript;Python;Rust;SQL;TypeScript,Docker;MSBuild;npm;NuGet;Yarn,Google Cloud,.NET (5+) ;React Native
Other (please specify):,United States of America,,,,C#;HTML/CSS;JavaScript;Python;SQL,Docker;Terraform,Amazon Web Services (AWS),.NET (5+) 
"Developer, full-stack",Russian Federation,500 to 999 employees,24,800000.0,Bash/Shell (all shells);C;C#;C++;Dart;Go;Java;Python;Rust;Scala;SQL;Swift,Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);MSBuild;Pip;Terraform;Unity 3D;Visual Studio Solution,Digital Ocean,Apache Kafka;Apache Spark;Flutter;Hadoop;Pandas;Spring Framework
"Developer, full-stack",Netherlands,"1,000 to 4,999 employees",14,116000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,MSBuild;npm;Yarn,Amazon Web Services (AWS);Google Cloud,.NET (5+) 
,,,,,,,,
"Developer, full-stack",Germany,2 to 9 employees,7,43140.0,C#;C++;GDScript;Java;JavaScript;Lua;Objective-C;SQL;TypeScript,APT;Docker;Godot;Gradle;MSBuild;npm;NuGet,Amazon Web Services (AWS),.NET (5+) ;.NET Framework (1.0 - 4.8)
,,,,,,,,
,,,,,,,,
,,,,,,,,
Other (please specify):,France,2 to 9 employees,10,60000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PHP;PowerShell;SQL;TypeScript,Composer;Docker;Google Test;Visual Studio Solution;Webpack;Yarn,Amazon Web Services (AWS);Microsoft Azure;OVH,Cordova
Research & Development role,Switzerland,100 to 499 employees,19,,C++;Python,Make;Pip,,NumPy;OpenCL;OpenGL
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,100 to 499 employees,1,31000.0,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,,,.NET (5+) 
"Developer, back-end",Germany,20 to 99 employees,25,50000.0,,,,
