DevType,CompTotal,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,Industry
"Developer, back-end",117820000.0,HTML/CSS;Java;JavaScript;TypeScript,Dynamodb,Amazon Web Services (AWS),Spring Boot,,.NET (5+);.NET Framework (1.0 - 4.8),Healthcare
Data scientist or machine learning specialist,160000000.0,Python;Rust;SQL,Cosmos DB;MongoDB;PostgreSQL;SQLite,Microsoft Azure,,,Hugging Face Transformers;Pandas;Scikit-Learn;Torch/PyTorch,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",134260000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL,Microsoft SQL Server;PostgreSQL;Redis,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Blazor;jQuery;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8),"Information Services, IT, Software Development, or other Technology"
DevOps specialist,176800000.0,Go;Python;TypeScript,PostgreSQL;Supabase,Amazon Web Services (AWS);Cloudflare;Google Cloud,Next.js;React,,,
"Developer, mobile",112500000.0,Java;Kotlin,,,,,,Financial Services
"Developer, full-stack",13600000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,MongoDB;Redis,Amazon Web Services (AWS);Firebase;Heroku;Netlify;Vercel,Express;Fastify;Node.js;React,,,
"Developer, full-stack",82200000.0,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Microsoft SQL Server;MongoDB,Amazon Web Services (AWS),ASP.NET;jQuery;Next.js;Node.js;React,,.NET Framework (1.0 - 4.8),
"Developer, full-stack",191800000.0,C#;HTML/CSS;JavaScript;Python;SQL,Dynamodb;Microsoft SQL Server;MySQL,Amazon Web Services (AWS),Express;jQuery;Node.js,,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,
"Developer, back-end",115700000.0,C;C#;C++;Java;PowerShell;SQL;Visual Basic (.Net),Microsoft SQL Server;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8),"Information Services, IT, Software Development, or other Technology"
"Developer, front-end",25200000.0,HTML/CSS;JavaScript;TypeScript,Elasticsearch;MongoDB,Firebase;Google Cloud;Netlify,Angular;Express;NestJS;Node.js,,Capacitor;Electron,
"Developer, front-end",36000000.0,HTML/CSS;JavaScript,,OVH,Node.js;Nuxt.js;Vue.js,,,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",8000000.0,JavaScript;Python;SQL;TypeScript,MongoDB;MySQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Express;Node.js,,,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",99600000.0,C#;C++;HTML/CSS;Python;TypeScript,PostgreSQL,Amazon Web Services (AWS),Express;Node.js;React,,.NET (5+),"Information Services, IT, Software Development, or other Technology"
Engineering manager,4800000.0,Go;JavaScript;TypeScript,BigQuery;Elasticsearch;MariaDB;MongoDB;MySQL;Redis,Amazon Web Services (AWS);Google Cloud;Managed Hosting,Express;Node.js,,,Financial Services
"Developer, full-stack",157550000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;Oracle;SQLite,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",198650000.0,C#;HTML/CSS;JavaScript;Rust;TypeScript,,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Vue.js,,.NET Framework (1.0 - 4.8),Insurance
"Developer, back-end",120000000.0,Assembly;C;Dart;Go;Python;TypeScript,BigQuery;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud,,,Apache Kafka;Flutter,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",1800000.0,C;HTML/CSS;Java;PHP;Python;SQL;TypeScript;Visual Basic (.Net),Dynamodb;Microsoft Access;Microsoft SQL Server;MySQL;Neo4J;Redis;SQLite,Amazon Web Services (AWS);Heroku;Microsoft Azure;Oracle Cloud Infrastructure (OCI),Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;Django;Flask;Svelte,,.NET (5+);.NET Framework (1.0 - 4.8);NumPy;Pandas;Scikit-Learn;TensorFlow,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",80100000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",239750000.0,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",411000000.0,C#;C++;HTML/CSS;JavaScript;SQL;TypeScript,Cloud Firestore;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,ASP.NET;ASP.NET CORE;Blazor;Vue.js,,.NET (5+),"Information Services, IT, Software Development, or other Technology"
Blockchain,274000000.0,Java;JavaScript;Rust;SQL;TypeScript,PostgreSQL;Redis;Supabase,Amazon Web Services (AWS);Microsoft Azure;Vercel,NestJS;Next.js;Node.js;React;Svelte,,Apache Kafka,
"Developer, back-end",342500000.0,Java;JavaScript;Ruby;TypeScript,MySQL;PostgreSQL,Amazon Web Services (AWS);Digital Ocean,Express;Next.js;Node.js;React;Ruby on Rails;Spring Boot;Vue.js,,React Native;Spring Framework,Financial Services
"Developer, back-end",315100000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Dynamodb;Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS),Svelte,,Pandas,Financial Services
"Developer, back-end",232900000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;MySQL;SQLite,Microsoft Azure,ASP.NET;Express;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8),Financial Services
"Developer, front-end",205500000.0,Dart;HTML/CSS;JavaScript;Swift;TypeScript,Cloud Firestore;Firebase Realtime Database;MongoDB,Firebase;Google Cloud;Microsoft Azure,AngularJS;ASP.NET;ASP.NET CORE;Express;Node.js;React,,.NET (5+);Flutter;React Native,
"Developer, front-end",150700000.0,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python;TypeScript,Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Heroku;Netlify,Angular;Django;Drupal;Express;FastAPI;Flask;jQuery;Node.js,,Electron;Pandas;Qt,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",240000.0,C#,Microsoft SQL Server,Microsoft Azure,ASP.NET CORE;Blazor,,.NET (5+),
Cloud infrastructure engineer,249000000.0,C;Go;HTML/CSS;Java;JavaScript;Rust;TypeScript,Dynamodb;Redis,Amazon Web Services (AWS);Fly.io,Express;Node.js;React,,,Financial Services
"Developer, back-end",9600000.0,JavaScript;TypeScript,Elasticsearch;MongoDB;PostgreSQL,Amazon Web Services (AWS);Digital Ocean,Node.js;React,,,Healthcare
"Developer, back-end",117000000.0,PHP,Elasticsearch;InfluxDB;MySQL,Amazon Web Services (AWS);Cloudflare,Symfony,,RabbitMQ,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",82500000.0,Bash/Shell (all shells);C#;JavaScript;SQL,Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Digital Ocean,ASP.NET CORE,,.NET (5+);RabbitMQ,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",143850000.0,HTML/CSS;JavaScript;PHP;SQL,MySQL,,jQuery,,,
"Developer, back-end",150700000.0,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;Microsoft SQL Server;SQLite,Firebase,Angular;ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8);Capacitor;Ionic,Financial Services
"Developer, full-stack",94500000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;Node.js,,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,Healthcare
"Developer, front-end",178100000.0,HTML/CSS;JavaScript;TypeScript,PostgreSQL,Google Cloud,Next.js;Node.js;React;Spring Boot,,,
"Developer, front-end",6240.0,HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL;SQLite,Amazon Web Services (AWS);Vercel,Express;jQuery;Next.js;Node.js;React,,,
"Developer, back-end",219200000.0,C#;JavaScript;PowerShell;Python;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;SQLite,Microsoft Azure,Angular;ASP.NET CORE;Flask;Node.js,,.NET (5+),
"Developer, full-stack",89000000.0,C#;HTML/CSS;JavaScript;PHP;SQL,MariaDB;Microsoft SQL Server;MongoDB;MySQL,Amazon Web Services (AWS);Cloudflare;Firebase;Microsoft Azure;Netlify;VMware,ASP.NET;ASP.NET CORE;jQuery;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8),"Information Services, IT, Software Development, or other Technology"
Cloud infrastructure engineer,521970000.0,Bash/Shell (all shells);Go;Python;Ruby,,Amazon Web Services (AWS),jQuery,,,Financial Services
"Developer, back-end",548000000.0,Go;Rust;Swift,MariaDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare,,,SwiftUI,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",315100000.0,C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Cosmos DB;Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;FastAPI;Flask;Node.js;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8);NumPy;RabbitMQ;Torch/PyTorch;Xamarin,
DevOps specialist,219200000.0,Go;Java;JavaScript;Python;TypeScript,Elasticsearch;H2;IBM DB2;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,"Digital Ocean;Linode, now Akamai;OpenShift;VMware",React;Spring Boot,,,Insurance
"Developer, full-stack",115700000.0,Bash/Shell (all shells);C++;Dart;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Ruby;Rust;SQL;Swift;TypeScript,BigQuery;Cloud Firestore;Firebase Realtime Database;MongoDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Angular;Express;Laravel;Next.js;Node.js;React,,Cordova;Electron;Flutter;Opencv;OpenGL;React Native;TensorFlow,"Information Services, IT, Software Development, or other Technology"
Blockchain,76000000.0,Go;JavaScript;Python;TypeScript,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,AngularJS;Django;Express;Next.js;Node.js;React;Spring Boot,,React Native,
"Developer, front-end",40113600.0,C#;HTML/CSS;JavaScript,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Heroku,Angular;AngularJS;ASP.NET;jQuery;Node.js,,Electron,"Information Services, IT, Software Development, or other Technology"
Security professional,424700000.0,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;TypeScript,SQLite,Cloudflare;Digital Ocean;OVH,,,,
Hardware Engineer,113030000.0,Bash/Shell (all shells);C#;PowerShell,,Microsoft Azure,ASP.NET;ASP.NET CORE,,,"Manufacturing, Transportation, or Supply Chain"
Engineering manager,44000000.0,Rust;TypeScript,BigQuery;MongoDB;MySQL,Cloudflare;Google Cloud;Vercel,NestJS;Next.js;Node.js;React,,,"Information Services, IT, Software Development, or other Technology"
Cloud infrastructure engineer,298660000.0,Bash/Shell (all shells);Groovy;Python;Ruby,Elasticsearch;PostgreSQL;SQLite,Amazon Web Services (AWS),Ruby on Rails,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",342500000.0,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB;Neo4J,Amazon Web Services (AWS);Google Cloud,ASP.NET;Express;jQuery;Next.js;Node.js;React,,.NET Framework (1.0 - 4.8);Pandas,Financial Services
"Developer, back-end",165770000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python,Dynamodb;H2;Oracle,,Angular;AngularJS;React;Spring Boot,,Apache Kafka,
"Developer, back-end",13440000.0,Go,BigQuery;MongoDB;PostgreSQL;Redis,Google Cloud,,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",183580000.0,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET CORE,,.NET (5+),
"Developer, back-end",136400000.0,Bash/Shell (all shells);C;Elixir;HTML/CSS;JavaScript;Ruby;Rust;SQL;Swift;TypeScript,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Phoenix,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",82200000.0,Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Scala;SQL;TypeScript;VBA;Visual Basic (.Net),Microsoft SQL Server;MongoDB;MySQL;Redis;SQLite,"Cloudflare;Linode, now Akamai;VMware",ASP.NET CORE;Blazor;Express;jQuery;Laravel;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8);Electron;Keras;Opencv;Pandas;React Native;TensorFlow,
"Developer, full-stack",40000000.0,C#;C++;Go;HTML/CSS;Java;JavaScript;Scala;SQL;TypeScript,MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite,Amazon Web Services (AWS);Google Cloud,ASP.NET;Node.js;React;WordPress,,.NET (5+);Cordova;Flutter;Qt;React Native,
"Developer, full-stack",100640000.0,Dart;HTML/CSS;JavaScript;PHP;Python;SQL,BigQuery;Cloud Firestore;Firebase Realtime Database;MongoDB;MySQL;Redis;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud,Express;Laravel;Node.js;Symfony;Vue.js,,Flutter,
"Developer, full-stack",232900000.0,Bash/Shell (all shells);Java;JavaScript;SQL;TypeScript,Dynamodb;Elasticsearch,Amazon Web Services (AWS),Angular;React;Spring Boot,,Spring Framework,
Engineering manager,376750000.0,Bash/Shell (all shells);Go;Python,,,,,,
"Developer, full-stack",249200000.0,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,PostgreSQL;Redis;Solr,Heroku,Flask;jQuery;Spring Boot;Vue.js,,Spring Framework,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",274000000.0,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server;SQLite,Amazon Web Services (AWS);Google Cloud,ASP.NET CORE;Blazor,,.NET (5+),"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",202075000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,Elasticsearch;PostgreSQL,Amazon Web Services (AWS),ASP.NET CORE;React,,.NET (5+),
"Developer, back-end",105600000.0,Bash/Shell (all shells);Go;Ruby;SQL,MariaDB;MySQL;Redis,Amazon Web Services (AWS),Ruby on Rails,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",12000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;Scala;SQL,Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Vercel,Express;Next.js;Node.js;React;Ruby on Rails;Svelte,,,
"Developer, mobile",117860000.0,Bash/Shell (all shells);Groovy;Java;Kotlin,,Firebase;Google Cloud;Microsoft Azure,,,SwiftUI,
Engineering manager,246600000.0,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Cassandra;Cosmos DB;Microsoft SQL Server;PostgreSQL;SQLite,Microsoft Azure,AngularJS;ASP.NET;ASP.NET CORE;Express;FastAPI;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8);NumPy,
"Developer, back-end",431550000.0,C#;C++;PowerShell;Python;SQL,Cosmos DB;Elasticsearch;Microsoft SQL Server;Redis;SQLite,Google Cloud;Microsoft Azure,ASP.NET;ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, front-end",223310000.0,Kotlin;TypeScript,PostgreSQL,Amazon Web Services (AWS),React;Svelte,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",200000000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,MariaDB;Microsoft SQL Server;MySQL;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Angular;ASP.NET CORE;Node.js;WordPress,,.NET (5+),Legal Services
"Developer, back-end",53760000.0,Groovy;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Cassandra;Elasticsearch;MySQL;Redis,Amazon Web Services (AWS),Deno;Express;FastAPI;NestJS;Node.js;Spring Boot,,Apache Kafka,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",286330000.0,C#,Microsoft SQL Server;Redis,,Angular;ASP.NET,,.NET (5+);.NET Framework (1.0 - 4.8),Retail and Consumer Services
"Developer, full-stack",161660000.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;Swift;TypeScript,MariaDB;MySQL,Amazon Web Services (AWS);Firebase;Vercel,jQuery;Next.js;Node.js;React;Symfony;WordPress,,,
"Developer, back-end",187000000.0,C#;HTML/CSS;PowerShell;SQL,Microsoft SQL Server;MySQL,,Blazor,,.NET (5+),
Product manager,890500000.0,HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;Swift,Cloud Firestore;MySQL,Google Cloud,Node.js;React;Spring Boot,,SwiftUI;Torch/PyTorch,
DevOps specialist,178100000.0,Bash/Shell (all shells);C#;C++;Java;PowerShell;SQL,Microsoft SQL Server;PostgreSQL,,,,.NET Framework (1.0 - 4.8);Qt,"Manufacturing, Transportation, or Supply Chain"
"Developer, back-end",685000.0,HTML/CSS;Java;JavaScript;PHP;Python;Visual Basic (.Net),MySQL,Firebase,jQuery;WordPress,,,
"Developer, front-end",479500000.0,C#;Go;HTML/CSS;Java;JavaScript;Kotlin;TypeScript,,Google Cloud,Angular,,.NET (5+),Advertising Services
"Developer, mobile",5125000.0,C#;Java;Kotlin;SQL,Firebase Realtime Database;Microsoft SQL Server;MySQL;SQLite,Firebase;Heroku,ASP.NET CORE,,Flutter,Financial Services
"Developer, full-stack",226050000.0,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Google Cloud,React,,Apache Kafka,Financial Services
Engineering manager,246600000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,Cosmos DB;Redis,Microsoft Azure,ASP.NET CORE;React;Spring Boot,,.NET (5+),
"Developer, back-end",7000000.0,C#,Dynamodb;PostgreSQL,Amazon Web Services (AWS),ASP.NET CORE,,.NET (5+);Apache Kafka,"Information Services, IT, Software Development, or other Technology"
Data scientist or machine learning specialist,1250000.0,Python,MongoDB;MySQL;Redis,"Cloudflare;Linode, now Akamai",Flask,,NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",274000000.0,JavaScript,Dynamodb;MySQL;Redis,Amazon Web Services (AWS),Node.js;React,,Apache Kafka,
"Developer, back-end",5712000.0,Go;SQL,MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS),Spring Boot,,,Financial Services
"Developer, back-end",200000000.0,TypeScript,PostgreSQL,Amazon Web Services (AWS);Microsoft Azure;Netlify,ASP.NET CORE;Next.js;React,,.NET (5+),"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",48000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;R,Cloud Firestore;MariaDB;MySQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase,AngularJS;Gatsby;jQuery;Next.js;React;WordPress,,,Advertising Services
"Developer, game or graphics",300000000.0,C++;JavaScript;Python,,,,,.NET (5+);.NET Framework (1.0 - 4.8);CUDA;NumPy;Qt;TensorFlow;Torch/PyTorch,
"Developer, back-end",219200000.0,Ruby;SQL;TypeScript,PostgreSQL;Redis,Amazon Web Services (AWS),NestJS;Ruby on Rails,,RabbitMQ,"Information Services, IT, Software Development, or other Technology"
DevOps specialist,465800000.0,Bash/Shell (all shells);Go;Java;JavaScript;Python;SQL;TypeScript,H2;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);VMware,Django;Node.js;React;Spring Boot,,Apache Kafka;RabbitMQ;Spring Framework,
"Developer, back-end",164400000.0,Java;JavaScript;Python;TypeScript,Dynamodb;Redis,Amazon Web Services (AWS),NestJS;Node.js;Spring Boot,,,
"Developer, full-stack",249000000.0,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;SQL,BigQuery;InfluxDB;Microsoft SQL Server;Oracle,Cloudflare;Google Cloud,Spring Boot;Vue.js,,Spring Framework,
"Developer, full-stack",91500000.0,C#;HTML/CSS;JavaScript;Python;TypeScript,IBM DB2;Microsoft SQL Server,,Angular;ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8);NumPy;Pandas,
"Developer, back-end",24000000.0,Java;SQL,Oracle;PostgreSQL,,React;Spring Boot,,RabbitMQ;Spring Framework,
"Developer, back-end",308250000.0,Bash/Shell (all shells);C#;Go;Perl;PowerShell;TypeScript,Cosmos DB,Microsoft Azure,ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8);Electron,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",411000000.0,Bash/Shell (all shells);C#;JavaScript;PowerShell;TypeScript,Cosmos DB;Redis,Microsoft Azure,ASP.NET;ASP.NET CORE;Express;Next.js;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8);NumPy;Pandas,"Information Services, IT, Software Development, or other Technology"
Hardware Engineer,150000000.0,Bash/Shell (all shells);Python;SQL,MariaDB;PostgreSQL;SQLite,,,,Pandas,"Manufacturing, Transportation, or Supply Chain"
"Developer, full-stack",253450000.0,C#;Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript,Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Microsoft Azure,ASP.NET;ASP.NET CORE;Express;jQuery;Next.js;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8);Electron;RabbitMQ;React Native;Xamarin,
"Developer, full-stack",22500.0,Dart;Elixir;HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Heroku,AngularJS;Node.js;Phoenix,,Flutter;React Native,
"Developer, back-end",232900000.0,Go;Java;JavaScript;Kotlin;Python;TypeScript,MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,Express;NestJS;Node.js;Spring Boot,,Spring Framework;SwiftUI,
"Developer, full-stack",146850000.0,C#;JavaScript;SQL,Dynamodb;Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, back-end",342500000.0,C#;Groovy;Java;JavaScript;Python;SQL,Dynamodb;Elasticsearch;Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Google Cloud,ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, mobile",115700000.0,C#;C++;Java;Objective-C,,,,,.NET (5+),
"Developer, back-end",15520000.0,Go,,,,,,
DevOps specialist,97500000.0,Bash/Shell (all shells);Python;SQL,Oracle;PostgreSQL,Microsoft Azure;VMware,,,Apache Spark;NumPy;Pandas,"Manufacturing, Transportation, or Supply Chain"
DevOps specialist,219200000.0,Bash/Shell (all shells);Python;Rust,Cassandra;MongoDB;MySQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud,,,,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",342500000.0,Java;JavaScript;Python;TypeScript,Elasticsearch;PostgreSQL,Amazon Web Services (AWS),Django;Next.js;Vue.js,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",164400000.0,C;Scala,SQLite,,,,,
"Developer, full-stack",301400000.0,Bash/Shell (all shells);HTML/CSS;Python;SQL;TypeScript,Dynamodb;MongoDB;MySQL;Snowflake,Amazon Web Services (AWS);Cloudflare,Angular;Node.js,,Apache Kafka,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",68400000.0,C#;HTML/CSS;Java;JavaScript;SQL;VBA;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server,,ASP.NET;ASP.NET CORE;jQuery,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, back-end",16800000.0,C#;C++;Go;Java;JavaScript;Kotlin;PHP;Python;SQL,H2;MariaDB;MongoDB;MySQL;PostgreSQL,Digital Ocean;Google Cloud,Express;Node.js;Spring Boot;WordPress,,.NET (5+);.NET Framework (1.0 - 4.8);Apache Kafka;Opencv;Spring Framework;TensorFlow,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",246600000.0,C#;C++;Java,,Microsoft Azure,Node.js;Spring Boot,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",145200000.0,C#;HTML/CSS;Lua;PowerShell;Rust;SQL;TypeScript;Visual Basic (.Net),Microsoft SQL Server;PostgreSQL,Microsoft Azure,ASP.NET;ASP.NET CORE;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8),"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",108750000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,H2;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Solr,Amazon Web Services (AWS);Managed Hosting;Microsoft Azure;OpenShift,jQuery;Node.js;React;Spring Boot,,Apache Kafka;Spring Framework,
Data scientist or machine learning specialist,589100000.0,Bash/Shell (all shells);Python;Scala,,Amazon Web Services (AWS),,,Apache Spark;NumPy,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",270000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin,MongoDB;PostgreSQL,Amazon Web Services (AWS);Heroku,Express;Node.js;Spring Boot;Vue.js,,Apache Kafka;Spring Framework,"Manufacturing, Transportation, or Supply Chain"
"Developer, full-stack",32880000.0,HTML/CSS;JavaScript;Python;SQL,PostgreSQL,"Amazon Web Services (AWS);Fly.io;Heroku;Linode, now Akamai",,,,
"Developer, full-stack",31500000.0,C#;HTML/CSS;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft Access;Microsoft SQL Server;MongoDB;SQLite,Google Cloud;Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery;React;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8);Flutter;Xamarin,"Information Services, IT, Software Development, or other Technology"
