DevType,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSat
"Developer, full-stack",120000000.0,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;Kotlin;PHP;SQL;TypeScript;Zig,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,,Digital Ocean,Next.js;React,Htmx;Next.js;React,,,,,Ansible;Composer;Docker;npm;pnpm;Vite;Webpack;Yarn,Ansible;Composer;Docker;Kubernetes;npm;pnpm;Vite;Webpack;Yarn,DevOps function;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
"Developer, full-stack",5600000.0,C#;C++;Dart;SQL;TypeScript,C#;Dart;SQL,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,Firebase,Firebase,Angular;ASP.NET CORE;Node.js,ASP.NET CORE,,,.NET Framework (1.0 - 4.8);Flutter,Flutter,Chocolatey;Docker;Gradle;MSBuild;npm;NuGet;Visual Studio Solution,Docker;MSBuild;npm;NuGet;Visual Studio Solution,Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Government,9.0
"Developer, mobile",123000000.0,Bash/Shell (all shells),Bash/Shell (all shells);Elixir;Rust;Swift,PostgreSQL;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Google Cloud,Amazon Web Services (AWS);Digital Ocean;Google Cloud,,Svelte,Cargo;LLVM's Clang,Cargo;LLVM's Clang,,,Homebrew;Make;Pip,Godot;Homebrew;Terraform;Vite,Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Media & Advertising Services,3.0
"Developer, full-stack",105000000.0,Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL,MongoDB;MySQL;PostgreSQL;Redis;SQLite,MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Netlify;Vercel,Digital Ocean;Vercel,Angular;AngularJS;Express;jQuery;Node.js;React;Vue.js;WordPress,Express;Htmx;Svelte,CMake;GNU GCC;Rasberry Pi,GNU GCC;Rasberry Pi,Flutter;React Native,TensorFlow,Docker;Gradle;Make;npm;pnpm;Vite;Webpack;Yarn,Bun;Docker;Make;Vite,DevOps function;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,On-prem,Traditional public search engine,Manufacturing,8.0
Security professional,225000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Ruby,Bash/Shell (all shells);Dart;HTML/CSS;Java;Kotlin;Rust,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,,,jQuery,Next.js;React,Rasberry Pi,Arduino;Rasberry Pi,,,Gradle;Maven (build tool),Gradle;Maven (build tool),None of these,On-prem,Traditional public search engine,"Internet, Telecomm or Information Services",8.0
"Developer, AI",20800000.0,Bash/Shell (all shells);Python,Bash/Shell (all shells);Python,,,Amazon Web Services (AWS),Amazon Web Services (AWS),,,,,NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,CUDA;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Pip,Docker;Pip,Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Software Development,6.0
"Developer, full-stack",82500000.0,C++;Python,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;Rust;TypeScript,,,,,,,CMake;GNU GCC,CMake;GNU GCC,,CUDA;RabbitMQ;TensorFlow,APT;Make;MSBuild;npm;Pip;Yarn,APT;Docker;Kubernetes;MSBuild;npm;Pip;Webpack;Yarn,None of these,Hybrid (on-prem and cloud),Traditional public search engine,,2.0
"Developer, full-stack",90000000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET CORE,ASP.NET CORE;Blazor,,,.NET (5+);RabbitMQ,.NET (5+);RabbitMQ,Docker;MSBuild;npm;NuGet;Visual Studio Solution,Docker;MSBuild;npm;NuGet;Visual Studio Solution,DevOps function;Automated testing;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),AI-powered search (paid),Software Development,8.0
"Developer, back-end",127500000.0,C;C#;C++;Go;Java;JavaScript;Python;Rust,C;C++;Go;Python;Rust,Redis,Redis,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,,,,CMake;Cargo,CMake;Cargo,,,Docker;Make,Docker;Make,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,7.0
"Developer, full-stack",135000000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,Redis,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;React;Vue.js,ASP.NET CORE;Blazor;React,Arduino;Rasberry Pi,Arduino,.NET (5+);React Native,.NET (5+);React Native,APT;Docker;MSBuild;npm;NuGet;Terraform;Visual Studio Solution,Bun;Docker;Terraform;Visual Studio Solution,DevOps function;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Manufacturing,3.0
"Developer, full-stack",68000000.0,C;C#;C++;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,C;C#;C++;HTML/CSS;Kotlin;Python;SQL;TypeScript,Microsoft SQL Server;MySQL,Microsoft SQL Server,Firebase;Microsoft Azure,Firebase;Microsoft Azure,ASP.NET;ASP.NET CORE;WordPress,ASP.NET CORE;Blazor;React,Arduino;Rasberry Pi,Arduino;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);NumPy;Pandas;TensorFlow,.NET (5+);CUDA;NumPy;Pandas,APT;Docker;Gradle;npm;NuGet;Visual Studio Solution;Yarn,APT;NuGet;Visual Studio Solution,DevOps function;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Manufacturing,3.0
"Developer, full-stack",202500000.0,C#;C++;HTML/CSS;JavaScript;PowerShell;TypeScript,C#;JavaScript;TypeScript,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Elasticsearch;Microsoft SQL Server;MongoDB;Redis,Heroku;Microsoft Azure,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js;WordPress,Angular;ASP.NET CORE;Node.js;React,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+);Flutter;React Native,Chocolatey;Docker;MSBuild;npm;NuGet;Visual Studio Solution,Docker;MSBuild;npm;NuGet;Terraform;Visual Studio Solution,DevOps function;Automated testing;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Retail and Consumer Services,8.0
"Developer, front-end",19000000.0,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;JavaScript;PHP;TypeScript,MySQL;Redis,MongoDB;MySQL;Redis;SQLite,Cloudflare,Cloudflare,Express;jQuery;Node.js;React;Vue.js,Express;jQuery;Node.js;React;Vue.js,,,,,Composer;npm;Vite;Webpack,Composer;Docker;npm;Vite;Webpack,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,"Internet, Telecomm or Information Services",7.0
"Developer, mobile",72000000.0,Go;HTML/CSS;JavaScript;PHP,PHP;Swift,MariaDB;MySQL;SQLite,MariaDB;MySQL;SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud,Amazon Web Services (AWS);Cloudflare;Google Cloud,jQuery;Vue.js,jQuery;Laravel,,,,,Ansible;APT;Docker;Homebrew,Ansible;APT;Docker;Homebrew,Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, embedded applications or devices",93600000.0,Bash/Shell (all shells);C;C#;C++;Dart;Python;SQL,Bash/Shell (all shells);C#;C++;Dart;Python,Microsoft SQL Server;SQLite,SQLite,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE,ASP.NET CORE;Blazor,GNU GCC,GNU GCC,.NET (5+);Flutter,.NET (5+);Apache Kafka;Flutter,Make;MSBuild;NuGet;Visual Studio Solution,Make;MSBuild;NuGet;Visual Studio Solution,Innersource initiative,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, full-stack",135000000.0,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python,,SQLite,,,,Vue.js,,CMake;GNU GCC;LLVM's Clang,,,,Docker;Gradle;NuGet;Pip,,Automated testing;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,9.0
"Developer, back-end",225000000.0,Bash/Shell (all shells);HTML/CSS;Java;Kotlin;PowerShell;SQL,Bash/Shell (all shells);Go;HTML/CSS;Java;Kotlin;SQL,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,Elasticsearch;Microsoft SQL Server;MySQL,,,Node.js,Node.js,,,Spring Framework,Spring Framework,Chocolatey;Docker;Homebrew;Maven (build tool);npm,Docker;Homebrew;Maven (build tool);npm,Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,5.0
"Developer, full-stack",7535000.0,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;MySQL,MariaDB;MySQL;PostgreSQL;SQLite,Cloudflare,Cloudflare,Angular;Django;jQuery;Laravel;Node.js,Angular;Express;jQuery;Laravel;Node.js;Vue.js,,,,,Composer;Docker;npm,Composer;Docker;npm,,On-prem,Traditional public search engine,Software Development,5.0
DevOps specialist,119000000.0,Bash/Shell (all shells);Java;JavaScript;TypeScript,,Dynamodb;MongoDB;MySQL,,Amazon Web Services (AWS);Digital Ocean,,Node.js;React;Spring Boot,,Rasberry Pi,,,,Docker;Homebrew;Kubernetes,,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),A coworker,,9.0
"Developer, full-stack",85000000.0,SQL,Python;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,,,,,,,,,None of these,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, front-end",54000000.0,HTML/CSS;Java;JavaScript;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,MariaDB;MongoDB;PostgreSQL,,Firebase,,Angular;jQuery;Node.js;Spring Boot;Vue.js;WordPress,Angular;NestJS;Node.js,Rasberry Pi,,NumPy;Pandas,CUDA;NumPy;Torch/PyTorch,Chocolatey;Docker;Maven (build tool);npm;NuGet;Podman;Vite,npm;NuGet;Pip,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Innersource initiative,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, full-stack",52200000.0,Bash/Shell (all shells);JavaScript;TypeScript,Bash/Shell (all shells);Dart;JavaScript;PowerShell;Python;TypeScript,Elasticsearch;MySQL;Redis,Elasticsearch;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Cloudflare,Next.js;Node.js;React,Next.js;Node.js;React;Spring Boot,,,React Native,Flutter;React Native,npm,Kubernetes;npm,DevOps function;Automated testing;Observability tools;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,7.0
"Developer, back-end",840000.0,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,C#;Dart;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;SQLite,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Vercel,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud,Flask;jQuery;Laravel;NestJS;Node.js;React;WordPress,Angular;ASP.NET;ASP.NET CORE;jQuery;NestJS;Next.js;Node.js;React;Spring Boot;Vue.js,,,,,,,None of these,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
"Developer, back-end",144180000.0,Go,Go;Zig,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),,,,,,,Docker;Kubernetes;Make,Docker;Kubernetes;Make,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Microservices,Cloud only (single or multi-cloud),A coworker,Fintech,7.0
"Developer, full-stack",22500000.0,C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;Rust;TypeScript,,MongoDB;Redis,,,,Node.js;Vue.js;WordPress,,Cargo;LLVM's Clang,,,,Docker;Vite,Kubernetes,Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,7.0
"Developer, mobile",45000000.0,C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL,Java;Kotlin;Python;SQL;Swift,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud,Django;Flask;jQuery;Laravel;Spring Boot;WordPress,Flask;Spring Boot,Arduino;CMake;GNU GCC;Rasberry Pi,Arduino;CMake;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);Flutter;NumPy;Pandas;RabbitMQ;Scikit-Learn;Spring Framework;TensorFlow,.NET (5+);NumPy;Pandas;RabbitMQ;Scikit-Learn;Spring Framework;TensorFlow;Torch/PyTorch,APT;Composer;Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);NuGet;Pip;Podman,APT;Composer;Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);NuGet;Pip;Podman,Microservices;Innersource initiative,Hybrid (on-prem and cloud),A coworker,Higher Education,4.0
"Developer, back-end",49000000.0,Java;SQL,Java;SQL,Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL,Elasticsearch;Microsoft SQL Server,,,Spring Boot;WordPress,Spring Boot,,,,,Docker;Kubernetes;Maven (build tool),Docker;Kubernetes;Maven (build tool),DevOps function;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,Fintech,8.0
"Developer, back-end",81600000.0,C#,C#,Microsoft SQL Server;MongoDB;Redis,Microsoft SQL Server;MongoDB;Redis,Microsoft Azure,Microsoft Azure,,,,,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,.NET (5+);RabbitMQ,Docker;Kubernetes;NuGet;Visual Studio Solution,Docker;Kubernetes;NuGet;Visual Studio Solution,Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Software Development,1.0
"Developer, full-stack",94500000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,Google Cloud;Heroku;Vercel,Google Cloud;Vercel,Node.js;Vue.js,Svelte;Vue.js,,,,,Chocolatey;Homebrew;Kubernetes;Make;npm;Terraform;Vite;Webpack;Yarn,Homebrew;Terraform;Vite;Yarn,Automated testing;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Software Development,10.0
"Developer, full-stack",93600000.0,C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Ruby;SQL;TypeScript,Kotlin;Python;TypeScript,MongoDB;MySQL;Redis,MySQL;Redis,Firebase,Firebase,Django;FastAPI;jQuery;Node.js;Vue.js,Blazor;Django;FastAPI;Vue.js,,,.NET (5+),,Gradle;npm;Pip;Webpack,Gradle;Pip,Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,,10.0
"Developer, back-end",7200000.0,PHP,C#;PHP;Rust,MySQL,MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS),,,,,,,,,,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,"Transportation, or Supply Chain",5.0
Engineering manager,425000000.0,Bash/Shell (all shells);C;JavaScript;TypeScript,Bash/Shell (all shells);C;JavaScript;Zig,Elasticsearch;PostgreSQL,Elasticsearch;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Django;Node.js;React,Htmx;Node.js;React,,,,,Docker;Homebrew;Kubernetes;npm;Pip;Terraform;Yarn,Docker;Homebrew;Kubernetes;npm,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (paid),Computer Systems Design and Services,7.0
Data engineer,212500000.0,Python,Python;Rust;SQL,MongoDB,MongoDB,Amazon Web Services (AWS);Microsoft Azure,,,,,,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,NumPy;Pandas,Docker;Pip,Docker;Pip,Automated testing;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Software Development,7.0
"Developer, back-end",85500000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Rust;SQL,Bash/Shell (all shells);Java;Kotlin;Rust;SQL,Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis,Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Spring Boot,,,,Apache Kafka;RabbitMQ;Spring Framework,Apache Kafka,Ansible;Docker;Gradle;Kubernetes;Maven (build tool);npm;Terraform,Docker;Kubernetes;Maven (build tool);Terraform,DevOps function;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Media & Advertising Services,8.0
"Developer, AI",150000000.0,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Go;JavaScript;Python;Rust;TypeScript;Zig,Elasticsearch;MongoDB;PostgreSQL,MongoDB;SQLite,Google Cloud;Microsoft Azure,,Express;Node.js;React;Vue.js,NestJS;Next.js,Arduino;Cargo;Rasberry Pi,,,,Kubernetes,Kubernetes;Vite,None of these,Cloud only (single or multi-cloud),AI-powered search (paid),Software Development,5.0
"Developer, mobile",204000000.0,C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,C#;Dart;Kotlin;TypeScript,Dynamodb;Microsoft SQL Server;SQLite,SQLite,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),ASP.NET CORE;Node.js;Vue.js,Node.js;Vue.js,,,.NET (5+);.NET Framework (1.0 - 4.8);Flutter,.NET (5+);Flutter,Docker;Gradle;npm;Visual Studio Solution;Vite,,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,10.0
"Developer, full-stack",42000000.0,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Python;TypeScript,C++;Dart;HTML/CSS;Python;Rust;Swift;TypeScript,Dynamodb;MongoDB;PostgreSQL,Dynamodb;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Express;Node.js;React,Node.js;React;Svelte,Arduino;Rasberry Pi,Arduino;Rasberry Pi,,Flutter,Docker;Homebrew;npm;Vite;Yarn,Docker;Homebrew;Vite;Yarn,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
"Developer, full-stack",195000000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL,Python,Elasticsearch;Microsoft SQL Server,,Microsoft Azure,,ASP.NET CORE;jQuery,,,,,,Docker;MSBuild;npm;NuGet;Webpack,,DevOps function;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
"Developer, full-stack",112500000.0,C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Ruby;SQL;TypeScript,Elixir;Go;Rust,Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL,,Heroku,Amazon Web Services (AWS);Google Cloud,Angular;AngularJS;jQuery;Spring Boot;WordPress,Django;Express;React;Spring Boot,Rasberry Pi,,Apache Kafka;RabbitMQ,,Docker;Gradle;npm;Podman;Terraform;Webpack,Docker;Kubernetes;Vite,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,On-prem,A coworker,Software Development,7.0
"Developer, back-end",630000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;JavaScript;SQL;TypeScript,MySQL;PostgreSQL;Redis,Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Microsoft Azure,Angular;AngularJS;Express;FastAPI;NestJS;Node.js;Vue.js,Express;NestJS;Node.js;React,,,Apache Kafka,Apache Kafka;RabbitMQ,Docker;Make;npm;Yarn,Docker;npm;Yarn,DevOps function;Observability tools;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,"Internet, Telecomm or Information Services",8.0
"Developer, embedded applications or devices",151008000.0,C;Python,C;C++;Dart;Go;Python;Rust,,,,,,,,,NumPy,Flutter,,,DevOps function;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,Software Development,10.0
"Developer, back-end",198000000.0,C#;JavaScript;TypeScript,C#,Elasticsearch;Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE,ASP.NET CORE;Blazor,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),Docker;NuGet;Podman;Terraform;Visual Studio Solution,NuGet;Podman;Visual Studio Solution,DevOps function;Observability tools;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,7.0
Engineering manager,54000000.0,JavaScript;Python;Rust,,MongoDB;Redis,,Microsoft Azure,,Node.js;React,,,,React Native,,,,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Retail and Consumer Services,6.0
"Developer, mobile",150000000.0,Kotlin,Kotlin;Swift,,,,,,,,,,,Gradle,,Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,,8.0
"Developer, full-stack",59280000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MySQL;SQLite,MySQL;SQLite,Microsoft Azure,,Next.js;Node.js;React;Vue.js,Next.js;Node.js;Vue.js,,,React Native,,Docker;npm;Vite,Bun;Docker;npm;Podman;Vite,DevOps function;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Do search of internal share drives/storage locations for documentation (i.e., not a structured knowledge base)",Software Development,8.0
"Developer, back-end",225000000.0,Bash/Shell (all shells);JavaScript;PHP;TypeScript,,Elasticsearch;MySQL,,Amazon Web Services (AWS);Google Cloud,,Vue.js,,,,RabbitMQ,,APT;Composer;Docker;Make;Maven (build tool);npm;Webpack,,DevOps function;Automated testing;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,,7.0
"Developer, full-stack",75000000.0,JavaScript;Python;SQL;TypeScript,Go;JavaScript;Python;Rust;SQL;TypeScript,PostgreSQL,PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare,Cloudflare,Django;Flask;jQuery,Django;Flask;Node.js;React;Vue.js,,,NumPy;Pandas;Scikit-Learn,NumPy;Pandas;Scikit-Learn,Docker;Pip,Docker;Kubernetes,AI-assisted technology tool(s),Cloud only (single or multi-cloud),Traditional public search engine,Energy,4.0
"Developer, front-end",100800000.0,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,,,Microsoft Azure,Microsoft Azure,Angular;Node.js,Angular;Node.js,,,,,npm;pnpm,npm;pnpm,DevOps function;Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Computer Systems Design and Services,8.0
"Developer, back-end",97900000.0,C;JavaScript;Rust;TypeScript,Rust,,,,,,,CMake;Cargo;GNU GCC,CMake;Cargo,.NET (5+),,Docker;Make,Docker,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,6.0
"Developer, full-stack",150000000.0,C#;HTML/CSS;JavaScript;SQL,,Microsoft SQL Server;MySQL,,Amazon Web Services (AWS);Heroku;Microsoft Azure,,Angular;AngularJS;Node.js,,,,.NET (5+),,Docker;Homebrew;npm,,DevOps function;Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Slack search,"Internet, Telecomm or Information Services",10.0
"Developer, embedded applications or devices",76500000.0,C;C#;C++,C;C#;C++;Python;Rust,,SQLite,,,,,LLVM's Clang,LLVM's Clang,.NET Framework (1.0 - 4.8),,MSBuild;NuGet;Visual Studio Solution,Godot;MSBuild;NuGet;Visual Studio Solution,Automated testing;Knowledge sharing community;Developer portal or other central places to find tools/services,On-prem,Traditional public search engine,Energy,8.0
